동호회명,시도명,시군구명,종목명,부종목명,장애유형명,운영시간내용,동호회 소개내용
발달장애인 검도교실,인천광역시,인천광역시 서구,검도,,발달(지적/자폐)장애,매주 목요일 오후 2시 30분,
밀알 유성검도동호회,대전광역시,대전광역시 동구,검도,레크리에이션,발달(지적/자폐)장애,"월,수 오후 1시 30분","안녕하십니까 사회복지법인 밀알 주간활동서비스 검도 동호회 클럽입니다. 매주 월, 수 오후 1시 30분에 진행하며, 유성에 위치한 유성검도관에서 진행됩니다."
두드림장애인검도클럽,경기도,경기도 동두천시,검도,,지체(척수 및 절단 및 기타)장애,매주  수  오후1시30분,
인천서구장애인검도동호인클럽,인천광역시,인천광역시 서구,검도,,발달(지적/자폐)장애,매주 화 오후4시,인천서구장애인검도동호인클럽은  경험하지 못한 검도 배우며 기초체력을 향상시키고 근력을 발달시키며 신체활동을       통하여 건강하게 스트레스를 해소한다.
창녕군화왕산장애인게이트볼,경상남도,경상남도 창녕군,게이트볼,,지체(척수 및 절단 및 기타)장애,매주 수.금 10시,
2023 전북장애인생활체육 게이트볼클럽(장수),전라북도,전라북도 장수군,게이트볼,,지체(척수 및 절단 및 기타)장애,"매주수,목 15:00~17:00",
(도비)2023년 수피아 게이트볼클럽,충청남도,충청남도 아산시,게이트볼,,발달(지적/자폐)장애,매주 월 10:30~11:30,
호연지기,경상남도,경상남도 거제시,게이트볼,기타,지체(척수 및 절단 및 기타)장애,매주 수요일  오후 2시,"장애인의 재활자립 의지를 도모하고 장애인생활체육의 중요성을 홍보함으로써 재가 장애인들의 참여를 활성화하여  고립되고 소외된 생활에서 벗어나 밝고 적극적인 참여자세를 유도하는 목적으로 클럽을 운영하고 있다.  또한  경상남도지사기 장애인게이트볼대회, 김해시장기배장애인게이트볼대회등 경남에서 실시하는 각종게이트볼대회에도 매년 참가하고 있다."
마산농아인게이트볼클럽,경상남도,경상남도 창원시,게이트볼,,청각장애,매주 월~금 오후 2시,
느티나무게이트볼동아리,경상남도,경상남도 김해시,게이트볼,,지체(척수 및 절단 및 기타)장애,매주월~토오후13~17,장애인비장애인 어울림으로 함께하는 동아리
(도비)데프게이트볼,충청남도,충청남도 청양군,게이트볼,,지체(척수 및 절단 및 기타)장애,"매주 목요일, 오후2시",
함안농게이트볼,경상남도,경상남도 함안군,게이트볼,,청각장애,매주 목요일 오후 2시,함안지역 농아인의 화합과 체육활동 참여를 통한 건강증진 및 건전한 여가 선용을 목표로 하는 클럽입니다.
SD-천지,제주특별자치도,제주특별자치도 서귀포시,게이트볼,,청각장애,목요일 12:30-14:30,
진농회게이트볼,경상남도,경상남도 진주시,게이트볼,,청각장애,매주 화 오전 10시,
군포시농아인게이트볼클럽,경기도,경기도 군포시,게이트볼,,청각장애,"매주 화,수 오후 2시",
보람게이트볼클럽,서울특별시,서울특별시 강북구,게이트볼,,지체(척수 및 절단 및 기타)장애,매주 토 14시,
토요애장애인게이트볼클럽,경상남도,경상남도 의령군,게이트볼,,지체(척수 및 절단 및 기타)장애,매주 토 오후1시반,◎게이트볼 동호인 참여로 게이트볼 생활 체육 활동진행  ◎지체장애인등 동호인 10명 매주 토요일 1회 수업진행  ◎선수 발굴 및 육성을 통해 각종 대회 참가
푸름회 게이트볼,경상남도,경상남도 창원시,게이트볼,,기타장애,"매 2,4주 화,목 오전",
진해벚꽃장애인게이트볼동우회,경상남도,경상남도 창원시진해구,게이트볼,골프,지체(척수 및 절단 및 기타)장애,매일 오전6시~오후6시,
2023전북장애인생활체육게이트볼클럽,전라북도,전라북도 김제시,게이트볼,,지체(척수 및 절단 및 기타)장애,목요일 10시-12시,
노원데프이글스클럽,서울특별시,서울특별시 노원구,게이트볼,,청각장애,"매주월~금,오전9시~12시","청각장애인을위한 여가활용,체력증진,대회출전과 인적교류를위한 클럽입니다."
보물섬N.D.G,경상남도,경상남도 남해군,게이트볼,,청각장애,"매주 화,금 오후2시",2009년 6월 창단한 보물섬 N.D.G 클럽은 농인을 중심으로 농인이 주체적으로 오랫동안 클럽을 이끌어 왔습니다.   그 동안 수 많은 대회에 참가하여 좋은 성적을 거두었습니다. 올해도 많은 대회에 참가하여 좋은 성적을 거두고 싶습니다.
(도비)금산군 게이트볼 어울림 동호회,충청남도,충청남도 금산군,게이트볼,,지체(척수 및 절단 및 기타)장애,매주 수 13:30,
울타리 게이트볼 동호회,경상남도,경상남도 사천시,게이트볼,,지체(척수 및 절단 및 기타)장애,"매주 토,일 오후 1시",장애인의 건전한 생활체육 활동과 게이트볼 동호회 회원분들의 여가 활동을 운영함
복지클럽,경기도,경기도 화성시,게이트볼,,지체(척수 및 절단 및 기타)장애,"매주 화,목 오후1시-3시",
경호 게이트볼,경상남도,경상남도 산청군,게이트볼,,지체(척수 및 절단 및 기타)장애,"매월 1-2회, 10:00 ~ 12:00","산청의 지체, 청각 장애인들이 어울려 활동하는 게이트볼 클럽입니다."
거창어깨동무게이트볼,경상남도,경상남도 거창군,게이트볼,,청각장애,"매주 화, 오전 9시 30분",
(도비)정타게이트볼클럽,충청남도,충청남도 천안시,게이트볼,,지체(척수 및 절단 및 기타)장애,화 13:00~15:0,
골때리는 게이트볼,인천광역시,인천광역시 서구,게이트볼,,지체(척수 및 절단 및 기타)장애,매주 금요일 오후 2시,
(기금)해나루게이트볼클럽,충청남도,충청남도 당진시,게이트볼,,청각장애,매주 목 14시~16시,
(기금)태안군어울림게이트볼클럽,충청남도,충청남도 태안군,게이트볼,,청각장애,매주 화요일 13:30,
(시비)서장게클럽,충청남도,충청남도 서산시,게이트볼,,지체(척수 및 절단 및 기타)장애,매주 수요일 3시,
오뚜기,경상남도,경상남도 함양군,게이트볼,,지체(척수 및 절단 및 기타)장애,매주화요일 10:00 ~16:00,
안성맞춤농아게이트볼클럽,경기도,경기도 안성시,게이트볼,,청각장애,"매주 화,목  오전10시",
산농동무게이트볼동아리,경상남도,경상남도 산청군,게이트볼,,청각장애,매주 목 오후 2시,산청군 청각/언어 장애인들의 게이트볼 동아리
양산시 으럇차차게이트볼,경상남도,경상남도 양산시,게이트볼,,지체(척수 및 절단 및 기타)장애,매주토요일 오후1시,으럇차차게이트볼회원들이 모여 연습하고 서로 웃으면서 운동하니 화합도 되고 건강도 되?고 발전되어갑니다
(도비)논산시장애인장애인게이트볼클럽,충청남도,충청남도 논산시,게이트볼,,지체(척수 및 절단 및 기타)장애,매주 월 14:00,안녕하세요 논산시장애인게이트볼클럽입니다!    매주 월요일 14:00~16:00 논산시민운동장 게이트볼구장에서 진행하고 있습니다!    많은 관심과 참여 부탁드립니다!
밀농게이트볼클럽,경상남도,경상남도 밀양시,게이트볼,,청각장애,"매주 화, 목 오전9시",
(도비)2023년  공주시장애인게이트볼 동호회,충청남도,충청남도 공주시,게이트볼,,지체(척수 및 절단 및 기타)장애,매주 월요일 13:00,
마포지회 게이트볼,서울특별시,서울특별시 마포구,게이트볼,,지체(척수 및 절단 및 기타)장애,매주 화 오전 10시,생활체육 활동을 통하여 장애인들의 건강 증진과 회원들과의 화합을 도모하고 문화여가 생활로  삶의질을 향상시키는데 주력하고 있음.
광명시장애인게이트볼클럽,경기도,경기도 광명시,게이트볼,,지체(척수 및 절단 및 기타)장애,매주 금요일 오전 10시,
부산광역시농아인스포츠연맹게이트볼클럽,부산광역시,부산광역시 동구,게이트볼,,청각장애,매주 목 오후 2시,청각장애인과 비장애인 같이 교류하며 게이트볼 생활체육활동으로 건강을 지켜줍니다.
한다사게이트볼,경상남도,경상남도 하동군,게이트볼,,지체(척수 및 절단 및 기타)장애,"매주 월, 수 오전11시",
오뚜기게이트볼클럽,경기도,경기도 구리시,게이트볼,,지체(척수 및 절단 및 기타)장애,매주 월14시,
챌린저게이트볼,경상남도,경상남도 김해시,게이트볼,,지체(척수 및 절단 및 기타)장애,매주 수.토13시~17시,장애인 비장애인과 친목강화 및 건강증진
(도비) 2023년 예산 농아인 게이트볼클럽,충청남도,충청남도 예산군,게이트볼,,청각장애,매주 화요일 오전 10시30분,매주 화요일 오전 10시 30분 부터 예산공설운동장 게이트볼구장에서 진행회는 게이트볼 클럽입니다.
보라매,경기도,경기도 부천시,게이트볼,,기타장애,매주,
2023 전북장애인생활체육 게이트볼클럽,전라북도,전라북도 익산시,게이트볼,,지체(척수 및 절단 및 기타)장애,목 14:00~15:00,
한울타리,경상남도,경상남도 통영시,게이트볼,,지체(척수 및 절단 및 기타)장애,매일 오후1시,
하남시장애인게이트볼클럽,경기도,경기도 하남시,게이트볼,,지체(척수 및 절단 및 기타)장애,매일 10시부터,
보물섬장애인동아리(게이트볼),경상남도,경상남도 남해군,게이트볼,,지체(척수 및 절단 및 기타)장애,매주 목 오후 2시,
곰두리게이트볼,경상남도,경상남도 거창군,게이트볼,,지체(척수 및 절단 및 기타)장애,"매주 월,수 오후 2시",
강서게이트볼동호회,서울특별시,서울특별시 강서구,게이트볼,,지체(척수 및 절단 및 기타)장애,매주 금 14:~17:00,"장애인,비장애인이 함께 어우러져 운동하는 모임으로 누구나 참여할 수 있습니다."
진월게이트볼클럽,광주광역시,광주광역시 남구,게이트볼,,지체(척수 및 절단 및 기타)장애,"매주 월,목 8시30분",
2023 대구장애인 게이트볼클럽,대구광역시,대구광역시 수성구,게이트볼,,지체(척수 및 절단 및 기타)장애,"매주 화,목 오전 10시",
사천농아인게이트볼클럽,경상남도,경상남도 사천시,게이트볼,,청각장애,매주 수 오전 10시,
한마음장애인 게이트볼,경상남도,경상남도 함안군,게이트볼,,지체(척수 및 절단 및 기타)장애,"매주 화,목 오후2시~5시",
의왕시장애인게이트볼,경기도,경기도 의왕시,게이트볼,,기타장애,매주 수 오전 9시30분~11시30분,
(기금) 2023 홍천군장애인체육회 게이트볼 동호인클럽,강원도,강원도 홍천군,게이트볼,,지체(척수 및 절단 및 기타)장애,매주 토 오전10시~12시,게이트볼을 통해 홍천 장애인분들의 삶의 질 향상과 올바른 게이트볼 문화를 조성하겟습니다.
유벤투스농아인게이트볼클럽,부산광역시,부산광역시 북구,게이트볼,,청각장애,매주 화 금 오후 2시,
2023 파랑새클럽,제주특별자치도,제주특별자치도 서귀포시,게이트볼,,지체(척수 및 절단 및 기타)장애,매주 토요일10:00~13:00,
어울림게이트볼동호회,경상남도,경상남도 창원시마산합포구,게이트볼,,지체(척수 및 절단 및 기타)장애,매주 화요일 10시-15시,
게이트볼클럽,서울특별시,서울특별시 마포구,게이트볼,,지체(척수 및 절단 및 기타)장애,매주 월 10시,
의왕시 시각장애인 게이트볼클럽,경기도,경기도 의왕시,게이트볼,,시각장애,매주 수 14:00-16:00,
고룡이,경상남도,경상남도 고성군,게이트볼,,지체(척수 및 절단 및 기타)장애,매주 월-금 오전 10시,
일송게이트볼,경상남도,경상남도 진주시,게이트볼,,지체(척수 및 절단 및 기타)장애,"매주 월,수,토",
(기금) 2023 보아게이트볼클럽,충청북도,충청북도 보은군,게이트볼,,청각장애,매주 화 오후1시~3시,^^
스마일게이트볼,경상남도,경상남도 통영시,게이트볼,,청각장애,"매주 수, 토요일",통영지역에서 활동하는 농아인 게이트볼 팀입니다.
하동길벗,경상남도,경상남도 하동군,게이트볼,,청각장애,"매주 화, 목 오전9시","청각,언어장애인들의 모임"
거제DEAF게이트볼동아리,경상남도,경상남도 거제시,게이트볼,,청각장애,매주 화/토 오후 1시 30분~,안녕하세요  거제DEAF게이트볼동아리입니다  남녀노소 누구나 즐길 수 있는 게이트볼종목!!  게이트볼을 배우면서 건강도 찾고 다양한 사람들과 어울리며 재미도 느끼실 분들!! 모두 참여해주세요~^^
독수리게이트볼,경상남도,경상남도 밀양시,게이트볼,,지체(척수 및 절단 및 기타)장애,"매주월,화,수,목,금 오전9시",
성남농아인게이트볼클럽,경기도,경기도 성남시,게이트볼,,청각장애,매주 월 오전 9시 30분,성남에 사는 농아인이 모여서 만든 게이트볼클럽입니다.
합천장애인게이트볼,경상남도,경상남도 합천군,게이트볼,,지체(척수 및 절단 및 기타)장애,화,저희 합천군 지체장애인 게이트볼 클럽은 화합과 단결이 잘 이루어 진팀으로 항상 즐겁고 행복함이 가득한 클럽입니다.
손사랑게이트볼동아리,경상남도,경상남도 창원시진해구,게이트볼,,청각장애,"매주 화, 목 오후 2시",창원시 진해 지역의 청각 언어 장애인 게이트볼 동아리입니다.
중랑희망게이트볼클럽,서울특별시,서울특별시 중랑구,게이트볼,,기타장애,"매주 화, 금 오후2시",장애인과 비장애인이 어울려 활동하고 있는 클럽입니다.
사)경남지체장애인 사천시지회 한울타리,경상남도,경상남도 사천시,게이트볼,,지체(척수 및 절단 및 기타)장애,"매주 금,토,일 오후 1시",장애인과 비장애인이 함께 연습을 통해 실력도 항상 되고 팀원들의 단함이 잘됨
합천농아인 게이트볼클럽,경상남도,경상남도 합천군,게이트볼,,청각장애,매주 화 오전 10시,"농아인들의 건전한 체육활동 참여로 인해 합천군 농아인들의 단합과 건강향상, 그리고 삶의 활력을 찾고 윤택한 삶을 영위하기 위한 클럽입니다."
서울농학교초등체육,서울특별시,서울특별시 종로구,게이트볼,,청각장애,"매주 월, 수 13:00",청각장애 초등학생 게이트볼클럽
가평군하나로게이트볼클럽,경기도,경기도 가평군,게이트볼,,지체(척수 및 절단 및 기타)장애,매주 금 오후 2시,
남가람게이트볼,경상남도,경상남도 진주시,게이트볼,,지체(척수 및 절단 및 기타)장애,"매주 수, 토 13시",
보듬 히어로,경상남도,경상남도 김해시,게이트볼,뉴스포츠,발달(지적/자폐)장애,매주 수 오후2시,김해시 게이트볼장에서 매주 수요일 비장애인과 장애인이 함께 활동하는 게이트볼 클럽입니다^^
과천시농아인게이트볼클럽,경기도,경기도 과천시,게이트볼,,청각장애,"매주 화,목 오후1시",안녕하세요~    과천시농아인게이트볼클럽입니다.    잘부탁드립니다.
서울농학교초등체육,서울특별시,서울특별시 종로구,게이트볼,특수체육,청각장애,"매주 월, 수 13:00",청각장애 초등학생 생활체육 클럽
고잉투게더,경상남도,경상남도 김해시,게이트볼,,발달(지적/자폐)장애,매주 월 오후2시,
금나래데프게이트볼클럽,서울특별시,서울특별시 금천구,게이트볼,,청각장애,매주 금 오후3시,금나래데프게이트볼 금천구지회 게이트볼교실입니다.
의령농게이트볼,경상남도,경상남도 의령군,게이트볼,,청각장애,매주 화 오후2시,의령군내 청각장애인(농아인)은 누구나 참여 및 가입이 가능합니다.  많은 참여 부탁드립니다^^
(기금)2023년 홍성군 여성 장애인 게이트볼교실,충청남도,충청남도 홍성군,게이트볼,,지체(척수 및 절단 및 기타)장애,매주 목 14:30~15:30,"여성 장애인이 체육활동을 통해 건강증진과 삶의 질 향상  ※지체, 뇌병변, 시각, 청각, 지적, 내*외부장애를 가지신 분들 모집합니다."
고성농빛게이트볼,경상남도,경상남도 고성군,게이트볼,,청각장애,매주 수요일,"농인, 청인 함께하는 동아리입니다~~"
(기금)서천산재장애인어울림게이트볼동호인클럽,충청남도,충청남도 서천군,게이트볼,,지체(척수 및 절단 및 기타)장애,매주 화요일 13시,산재장애인협회에서 시작하여 지금은 비장애인과 산재장애인외 회원들을 영입하여 활동하고 있음.
창원시장애인게이트볼동호회,경상남도,경상남도 창원시,게이트볼,,지체(척수 및 절단 및 기타)장애,매주 토 오전 10시,"창원시 의창구, 성산구 지역의 지체장애인 게이트볼 동아리입니다."
마산골볼동아리,경상남도,경상남도 창원시마산합포구,골볼,,시각장애,매주 목요일 오전11시,마산 골볼 동아리
(기금)2023년 아산스마트장애인골볼클럽,충청남도,충청남도 아산시,골볼,,시각장애,매주 금 10:45~11:45,
(기금)2023년 홍성군 시각장애인 골볼교실,충청남도,충청남도 홍성군,골볼,,시각장애,"매주 월,수 14:30~16:00",
2023전북장애인생활체육골볼클럽,전라북도,전라북도 김제시,골볼,,시각장애,매주수요일 3시-5시,
밀양시 시각장애인 한궁동호인클럽,경상남도,경상남도 밀양시,기타,기타,시각장애,매주 월 오전 11시,시각장애로 스포츠 활동에 어려움을 겪는 시각장애인을 대상으로 누구나 쉽게 접근할 수 있는 한궁을 통해 스포츠 참여 기회 및 권리 보장하고자 2021년 결성함.
대구여성장애인복싱통합운동클럽,대구광역시,대구광역시 달서구,기타,,발달(지적/자폐)장애,매주화 13:30~14:30,"백향목장애인주간보호센터 이용자 대상으로 복싱 통합운동 수업을 통해 신체재활을 도모하여 신체적,   심리적, 사회적 영역을 향상시키고 사회통합을 이루고자 한다."
스핀볼,경기도,경기도 고양시일산동구,기타,기타,기타장애,매주 월~금 오후,"세계최초 극내개발특허 기능성 뉴스포츠 장비 스핀볼.  남녀노소 누구나 힘을 들이지 않고 양손의 감각과 집중력을 요하는 멘탈 관리를 통해 성취감,도전정신,팀워크,스트레스해소 등을 목적으로 하는 재미있는 레크레이션 스포츠게임.(배우기도 쉽고 아무런 장비도 필요없음)"
사천시시각장애인스포츠클럽,경상남도,경상남도 사천시,기타,기타,시각장애,매주 월 오후 1시,
양산정다운한궁동호회,경상남도,경상남도 양산시,기타,뉴스포츠,시각장애,"매주 화,금 오후 1시",
수원탑빙상클럽2,경기도,경기도 수원시,기타,,기타장애,"매주 토,일 오전7시",
장애인그라운드골프 김해클럽,경상남도,경상남도 김해시,기타,골프,지체(척수 및 절단 및 기타)장애,13시~16시,
(기금) 2023년 금산군 장애인 어르신교실,충청남도,충청남도 금산군,기타,리듬체조,지체(척수 및 절단 및 기타)장애,화 14:00 ~ 15:00,2023년 금산군 장애인 어르신교실
2023년 시각장애인 쇼다운교실,인천광역시,인천광역시 서구,기타,쇼다운,시각장애,매주 화 오전 10시-12시,2023년 시각장애인 쇼다운교실
부산장애인e스포츠동호회,부산광역시,부산광역시 강서구,기타,기타,비장애인,매주 금 오후2시,온라인과 오프라인을 통틀어 장애인의 IT 욕구 충족과 게임이란 또 다른 장르를 보급 하고 장애인과 비장애인들의 활발한 교류를 목적으로 함
합천시각한궁,경상남도,경상남도 합천군,기타,기타,시각장애,"매주 화, 오후 13시",
성북한궁정조준동호회,서울특별시,서울특별시 성북구,기타,기타,기타장애,매주 화요일 오후 2시,"한궁을 통하여 양팔의 근육을 사용하여 활동을 발전시키고, 주위 장애인과 교류하면서 무료함을 깨우는데 목적이 있다."
합천시각쇼다운,경상남도,경상남도 합천군,기타,,시각장애,"매주 목, 오후 13시",
스피드왕꿈라인,경상남도,경상남도 진주시,기타,인라인스케이트,발달(지적/자폐)장애,2째주 토요일 오전 10시,"진주에서 발달장애 학생들이 인라인을 배우고 건강하고 바람직한 취미생활을 가질 수 있도록 하고,  장소는 진주 강변, 강변 인라인장, 인라인트랙장에서 장애학생들이 인라인 기술을 배우고 다양한 인라인 종목을 접할 수 있도록 하는 동아리 입니다."
관악구지체장애인한궁클럽,서울특별시,서울특별시 관악구,기타,기타,지체(척수 및 절단 및 기타)장애,매주 금요일 오전10시,안녕하세요.  관악구지체장애인한궁클럽입니다. 한궁경기를 통해서 건강은 물론 활기찬 생활을 함께 하시기 바랍니다.^^
달구벌한궁클럽,대구광역시,대구광역시 달서구,기타,기타,발달(지적/자폐)장애,매주 목요일 14:00~15:00,달구벌종합복지관에서 운영하는 달구벌한궁클럽입니다.   한궁에 관심있는 지적·자폐 성인장애인을 모집합니다.
2023 시각장애인 쇼다운동호인클럽,대구광역시,대구광역시 달서구,기타,쇼다운,시각장애,매주 수요일 오전 10시 - 12시,#NAME?
성남시장애인풋살클럽,경기도,경기도 성남시,기타,풋살,발달(지적/자폐)장애,매주 월 12:00~13:00,성남시장애인풋살클럽
성남헬스클럽,경기도,경기도 성남시,기타,헬스,발달(지적/자폐)장애,매주 토 12:00~13:00,성남헬스클럽
스스로생활체조동아리,경상남도,경상남도 창원시마산회원구,기타,생활체조,발달(지적/자폐)장애,메주 금 오전10시,
(기금) 2023년 장애청소년 생활체육교실,충청남도,충청남도 금산군,기타,뉴스포츠,발달(지적/자폐)장애,수 11:20 ~ 12:00,2023년 장애청소년 생활체육교실
(도비) 2023년 으라차차 체력증진클럽,충청남도,충청남도 예산군,기타,헬스,시각장애,매주 수요일 오후 1시 30분,
오달행클럽,대구광역시,대구광역시 달서구,기타,기타,지체(척수 및 절단 및 기타)장애,11:00 ~ 17:00,휠체어 바이크로 자전거길 라이딩을 하는 클럽입니다.
2023뉴스포츠&댄스교실,인천광역시,인천광역시 서구,기타,특수체육,발달(지적/자폐)장애,"월,화 오전 10:30~11:30",
강서구장애인한궁연맹클럽,서울특별시,서울특별시 강서구,기타,기타,지체(척수 및 절단 및 기타)장애,매주 금 오후 1시,한궁을 배우며 교류할 장애인은 누구나 함께 할 수 있습니다.
창원시두레원헬스클럽,경상남도,경상남도 창원시마산회원구,기타,헬스,발달(지적/자폐)장애,매주 목 오전 14시,발달장애인 스스로 자신의 필요에 맞는 근육을 사용할 수 있는 발달장애인 맞춤 Group Physical therapist
샬롬장애인야구동호회,서울특별시,서울특별시 강서구,기타,야구,지체(척수 및 절단 및 기타)장애,매주 월 오후 2시,야구를 사랑하는 장애인과 비장애인이 함께 어울려 활동하는 동호회입니다.
(시비)천안시시각장애인스포츠클럽,충청남도,충청남도 천안시,기타,기타,시각장애,매주 월~금 9:00~18:00,
2023 전남 영암군 장애인생활체육 소림풋살클럽,전라남도,전라남도 영암군,기타,,발달(지적/자폐)장애,매주 화요일 오후 4시,2023 전남 영암군 장애인생활체육 소림풋살클럽  4.25(화요일) ~ 12.5(화요일)
쇼다운교실,대전광역시,대전광역시 중구,기타,쇼다운,시각장애,"매주 월,목 오잔10:00",시각장애인용 게임으로 탁구대용으로 전세계 대회까지 있을정도     참여율이 높은 종목으로 우리나라에는 시작한지 얼마 안되는 종목
고성시각장애인한궁클럽,경상남도,경상남도 고성군,기타,기타,시각장애,"매주 월,화 오전10시",
양산푸른첼린저티볼팀,경상남도,경상남도 양산시,기타,T-ball,발달(지적/자폐)장애,매주 월 오후1시,
아쿠아웨이브클럽,부산광역시,부산광역시 해운대구,기타,기타,기타장애,매주 수 오후3시,
블루웨이브,부산광역시,부산광역시 연제구,기타,스킨스쿠버,기타장애,매주,"장애인과 비장애인이 함께 어울려 레포츠를 즐기는 비영리체육단체입니다.  카누, 카약, SUP, 스킨스쿠버, 레프팅보트, 등산, 클라이밍, 카트 등"
2023 우리동네 특수체육,대전광역시,대전광역시 유성구,기타,특수체육,발달(지적/자폐)장애,"매주 월,금 오전10시30분","중증장애인으로 구성된 단기보호시설로 다양하고 재미있는 특수체육활동을 통해 순발력과 유연성을 기르고, 정서적 안정 및 건강한 생활을 위한 신체활동 클럽입니다."
2023 전북장애인생활체육 휠체어럭비클럽,전라북도,전라북도 전주시,기타,휠체어럭비,지체(척수 및 절단 및 기타)장애,매주 화 오후 6시,
(기금)2023년 예산뉴스포츠클럽,충청남도,충청남도 예산군,기타,뉴스포츠,발달(지적/자폐)장애,매주 수 10:30~11:30,
동문FC,서울특별시,서울특별시 동대문구,기타,풋살,발달(지적/자폐)장애,매주 월 오후 6시 30분,2023 동대문구 발달장애인 풋살 동호인클럽 동문FC
고양펭귄스케이트클럽,경기도,경기도 고양시,기타,빙상,발달(지적/자폐)장애,"매주 월,수 오후 9시~10시","고양펭귄스케이트 클럽은 2011년 3월3일 창단된 비영리단체로 장애인 동호인 스케이트 클럽입니다 .스케이트를 통해 체력을 연마하고 동호인 활동을 통해 문화,정서적,사회적으로 건강한 삶을 영위하고자 하시는 분들은 누구나 참여 할수 있습니다 ,매주 월,수 오후 9시~10시까지 어울림누리빙상장에서 클럽 활동을 하고 있습니다"
(시비)천안시농아인산악회,충청남도,충청남도 천안시,기타,등산,청각장애,토 10:00~17:00,
대구척수장애인 한궁클럽,대구광역시,대구광역시 달서구,기타,기타,지체(척수 및 절단 및 기타)장애,매주 금요일 오후 2시,대구광역시 척수장애인들로 구성된 한궁 클럽입니다.
2023 전북장애인생활체육 장수그라운드골프클럽(장수),전라북도,전라북도 장수군,기타,골프,지체(척수 및 절단 및 기타)장애,매주 토 9시,
오클래스,서울특별시,서울특별시 중구,기타,기타,지체(척수 및 절단 및 기타)장애,"매주 토요일 오전 6시, 7시40분",
파주시텐덤사이클클럽,경기도,경기도 파주시,기타,템덤사이클,시각장애,"매주 토, 오전 9시 ~ 12시",
(도비)서산여성시각장애인한궁교실,충청남도,충청남도 서산시,기타,기타,시각장애,매주 수 14:00~15:00,
(도비)2023년 예산지체장애인 체력증진클럽,충청남도,충청남도 예산군,기타,기타,지체(척수 및 절단 및 기타)장애,매주 금 오후 2시,안녕하세요.  저희 예산지체장애인 체력증진클럽은 지체 장애인을 대상으로  예산군지체장애인협회 3층 소회의실 에서 매주 금요일 오후2시~3시30분까지 진행합니다.  운동이 필요로 하시는 분들은 언제나 함께할 수 있습니다.
전국지체장애인체육대회,대구광역시,대구광역시 중구,기타,기타,지체(척수 및 절단 및 기타)장애,2023.5.19,2023년 전국지체장애인체육대회 관련 참가자 접수
목포장애인필라테스동호회,전라남도,전라남도 목포시,기타,필라테스,지체(척수 및 절단 및 기타)장애,매주 월 오전11시,
선인산악회,서울특별시,서울특별시 송파구,기타,등산,시각장애,매주 목 오전 9시 30분,
목포장애인포켓볼동호회,전라남도,전라남도 목포시,기타,포켓볼,지체(척수 및 절단 및 기타)장애,매주 토 오후1시,
경남선원장애인한궁클럽,경상남도,경상남도 통영시,기타,기타,기타장애,"매주 수, 금요일 오후 4시","선원출신 장애인과 비장애인(자원봉사자 및 활동지원사, 보호자 및 가족) 자율적이고 협동적인 자치활동을 통하여 스포츠 정신에 입각한 건설적인 발전을 추구함은 물론 상호간의 상부상조와 친목을 도모하며 장애인의 재활을 목적으로 한다."
(시비)서산시각한궁클럽,충청남도,충청남도 서산시,기타,기타,시각장애,매주 수요일 2시,
부산어울림장애인트래킹클럽,부산광역시,부산광역시 북구,기타,기타,기타장애,격주 토요일 오전10시,어울림장애인트래킹클럽은회원들의친목위해 매주등산및둘래길걷고있습니다.
에이스골프클럽,부산광역시,부산광역시 남구,기타,골프,시각장애,"매주 토, 오전11시","시각장애인과 비장애인과의 골프를 통한 어울림클럽으로써 건강도모,친목,장애인들의 사회저변확대등에 이바지함을 목적으로 생성된 클럽입니다."
경남점핑운동,경상남도,경상남도 창원시의창구,기타,기타,발달(지적/자폐)장애,매주 수 오후1시30분,
2023 발달장애인 뉴스포츠 클럽,대구광역시,대구광역시 수성구,기타,뉴스포츠,발달(지적/자폐)장애,매주 수 오전 10시10분,동촌주간보호센터에서 실시하는 뉴스포츠 클럽 활동입니다.
서울시 구로구시각장애인한궁동호회,서울특별시,서울특별시 구로구,기타,기타,시각장애,매주수요일11시,구로구 시각장애인 한궁동호회
여수장애인포켓볼동호회,전라남도,전라남도 여수시,기타,포켓볼,지체(척수 및 절단 및 기타)장애,매주 토요일 오후 2시,당구를 사랑하는 모임
부산한마음등산클럽,부산광역시,부산광역시 부산진구,기타,등산,기타장애,매주 일요일 오전10시,우리클럽은 한달에2번씩 산행하며 어울려친목을도모합니다
(기금) 2023년 누림 쇼다운 동호회,충청남도,충청남도 공주시,기타,쇼다운,시각장애,매주 목요일 13:30,
(도비)금산발달장애인생활체육동호회,충청남도,충청남도 금산군,기타,특수체육,발달(지적/자폐)장애,매주 목 오후1시30분,
장흥양궁클럽,전라남도,전라남도 장흥군,기타,기타,지체(척수 및 절단 및 기타)장애,매주 수요일 11:40~12:40,클럽 활동을 통해 건전한 여가 생활과 건강한 몸과 마음을 가꿀수있는 계기를 마련해줄수 있는 클럽입니다.
수원탑빙상클럽,경기도,경기도 수원시,기타,빙상,발달(지적/자폐)장애,매주. 토.일 07시,지적. 청각장애 선수들의 빙상 클럽입니다
사랑탑컵동호회,서울특별시,서울특별시 송파구,기타,기타,뇌병변장애,매주 금 오후3시,지체 뇌병변 장애인 과 비장애인이 혼합으로  재활 치료를 목적으로 함께 체육활동을 함으로써 새로운 삶의 질을 향상시키는데 그목적이 있다.
