교육종류명,교육명,교육대상명,정원,교육시작일자,교육종료일자,교육장소명,교육비용,교육 설명내용,상세설명내용,신청인원수,접수상태,url,접수기간,운영기간,교육대상전처리
공교육연계,소마아트파운데이션 파일럿,성인,12,20201015,20201217,온라인,200000,,"소마미술관 성인아카데미 소마아트파운데이션은 한국예술종합학교 파운데이션 과정의 실기, 크리틱 활동 등을 일반 성인 대상으로 재구성한 프로그램으로, 한국예술종합학교 파운데이션을 지도하는 강사의 강의로 진행됩니다. 코로나-19로 새롭게 개설된 본 과정은 소마아트파운데이션 파일럿 과정으로, 소마아트파운데이션 1~4학기 중 일부를 온라인으로 경험할 수 있습니다. 
본 프로그램은 줌 비디오 커뮤니케이션 플랫폼을 이용하여 강사와 교육참여자 간 실시간 소통이 가능하도록 진행됩니다.

1)보기연습(1,2차시)
표현에 앞서 보는 행위의 본질과 다양성을 이해한다. 3차원 대상을 2차원으로 옮긴 미술사의 다양한 작업을 소개하고 대상을 다른 방식으로 관찰하는 두 가지 실습을 통해 보는 것과 그리는 행위 사이의 과정을 탐구해본다.

2)보이는 언어(3,4차시)
프랑스어에서 얼굴은 보다라는 라틴어로부터 파생된 말이라고 한다. 인간에게 얼굴을 꼭 관찰하고 파악해야 하는 대상이라는 의미다. 미술가들이 이 중요한 시각 대상에 무엇을 담아왔는지 알아보고, 얼굴을 표현하는 미술언어들이 어떻게 변화해 왔는지 살펴본다. 자신이나 타인의 얼굴을 표현해 보면서 현대의 미술언어를 직접 응용해 보는 경험을 갖는다.

3)감각 실험(5,6차시)
눈과 귀, 귀와 손, 손과 발의 감각이 서로 만나고 교차하는 순간이 있다. 우리는 몸의 감각들이 연결되는 공통의 경로를 탐색하고 표현해 볼 것이다. 이 수업은 감각의 상호작용을 통하여 공감각적인 심상을 깨우고 실습하는 시간이다.

4)다시점 드로잉(7,8차시)
투시 화법은 자연적 지각이 아니라 하나의 상징형식이다. 이것은 시대적, 문화적 배경에 따라 함께 변해온 하나의 인공적인 체계이다. 이 수업을 통해 투시 자체가 메시지가 될 수 있다는 것을 이해하고 구체적인 대상을 여러 시점으로 관찰하는 방법을 모색해 본다.

★ 신청 전 달력 하단의 안내 및 접수 시 유의사항 확인바랍니다.
★ 접수 시 희망 반에 해당하는 날짜 하루만 클릭하여 신청바랍니다. 
　(예) A반 수강 희망A반에 해당하는 날짜 중 하루만 클릭신청하기A반으로 신청 완료! 

▶ A반 (매주 목 10:00~13:00) : 10/29, 11/5, 11/12, 11/19, 11/26, 12/3, 12/10, 12/17
▶ B반 (매주 금 10:00~13:00) : 10/16, 10/23, 10/30, 11/6, 11/13, 11/20, 11/27, 12/4",12,접수마감,http://soma.kspo.or.kr/contents/education/class_let_view.asp?txtCLSS_SEQ_N=214=04,,"기간 중 매주 목, 금 (A반 : 목요일 / B반 : 금요일)",성인
공교육연계,11월 소마특강 조각이 모여 만든 조각,일반 성인,60명,20191127,20191127,,0,,"11월 소마특강은 조각_조각전시 연계 특강으로 조각(Pieces)이 모여 만든 조각(Sculpture)이라는 주제로 진행됩니다.

■ 강사 : 김성호(미술평론가)
　파리 1대학교 미학예술학 박사 취득
　현 ) 여주미술관 관장, 2020 창원조각비엔날레 총감독

■ 접수방법 : 아래의 달력에서 날짜 클릭  우측의 접수신청 클릭  항목 입력 후 신청",60,접수마감,http://soma.kspo.or.kr/contents/education/class_let_view.asp?txtCLSS_SEQ_N=199=04,,11월 문화가 있는 날,성인
공교육연계,"4월 소마특강 드로잉, 삶의 철학을 그리다 전시연계 특강",성인,40,20240424,20240424,,0,,"우리 미술관에서는 매월 마지막주 수요일 문화가 있는 날 소마특강을 개최합니다.

드로잉, 삶의 철학을 그리다 전시연계 특강
ㅇ 일시 : 4월 24일(수) 10:00~12:00
ㅇ 장소 : 소마미술관 세미나실
ㅇ 강사 : 이진우(철학자)
연세대학교 독문학과 졸업
독일 아우크스부르크대학에서 철학 석박사 학위
계명대학교 철학과 교수 및 총장 역임
유네스코 한국위원회 위원 및 한국 니체학회 회장 역임

전시 소개
드로잉, 삶의 철학을 그리다
드로잉으로 그려낸 예술가들의 삶의 성찰과 철학을 소개하는 미술과 철학의 콜라보 전시
ㅇ 기간 : 4. 19.(금)~8. 25.(일)
ㅇ 장소 : 소마미술관 1관
ㅇ 참여작가 : 강미선, 김명숙, 안규철, 유근택, 이배, 황인기(총6인)
ㅇ 참여철학자 : 이진우, 허경


[접수 방법] 
*특강신청이 확정되면 ★확정문자★가 전송됩니다.
*특강신청 확정문자는 ★4월 16일★ 부터 순서대로 전송됩니다.
*아래의 달력에서 날짜(4/24) 클릭 - 우측의 접수신청 클릭 - 항목 입력 후 신청",40,접수마감,http://soma.kspo.or.kr/contents/education/class_let_view.asp?txtCLSS_SEQ_N=335=04,4/4(목) 15:00~부터 홈페이지 접수 *내부 시스템사정으로 목요일부터 접수,2024/4/24 (수) 10:00~12:00,성인
공교육연계,작가워크숍  : 펜싱과 복싱이 만났을 때,성인,20,20230521,20230521,2관 전시실,0,,"규칙과 반칙의 변증법참여 작가 중 하상현작가의 설명을 들으며 작품과 퍼포먼스를 감상 및 체험하는 작가워크숍입니다. 
워크숍 참가자가 펜싱-복싱 대결 퍼포먼스에 직접 참여해보며 작품의 의미를 생각해봅니다.



규칙과 반칙의 변증법 하상현작가워크숍
ㅇ일시 : 5월 21일(일) / 14:00~15:00(1부.초등) / 16:00~17:00(2부.성인)
ㅇ장소 : 소마미술관 2관 전시실
ㅇ대상 : 초등학생(1부) / 성인(2부)
ㅇ정원 : 20명
ㅇ참가비 : 무료



[접수 방법] 
아래의 달력에서 날짜(5/21) 클릭 - 우측의 접수신청 클릭 - 항목 입력 후 신청

*성인 카테고리 확인 수 접수 부탁드립니다.",20,접수마감,http://soma.kspo.or.kr/contents/education/class_let_view.asp?txtCLSS_SEQ_N=294=04,,2023.05.21 16:00~17:00,성인
공교육연계,2023년 5월 소마특강 다시보다 : 한국근현대미술전 전시연계 특강,성인,40,20230531,20230531,,0,,"우리 미술관에서는 매월 마지막주 수요일 문화가 있는 날 소마특강을 개최합니다.

5월 소마특강은 소마미술관 1관에서 전시 중인 다시보다 : 한국근현대미술전과 연계하여, 황인 미술평론가의 강의가 진행됩니다.
(본 특강에는 전시관람이 포함되지 않습니다)
아래를 참고하시고, 많은 관심과 참여 부탁드립니다.


다시보다 : 한국근현대미술전 전시연계 특강
ㅇ일시 : 5월 31일(수) 10:00~
ㅇ장소 : 소마미술관 세미나실
ㅇ정원 : 40명
ㅇ특강참가비 : 무료
★ 특강당일 다시보다 : 한국근현대미술전을 관람하실 경우 문화가 있는 날 할인 관람료로 관람가능합니다.


[강사 소개]
황인 미술평론가
다시보다 : 한국근현대미술전 자문위원


[접수 방법] 
아래의 달력에서 날짜(5/31) 클릭 - 우측의 접수신청 클릭 - 항목 입력 후 신청",40,접수마감,http://soma.kspo.or.kr/contents/education/class_let_view.asp?txtCLSS_SEQ_N=293=04,,2023. 5. 31 10:00~,성인
공교육연계,2020 성인 정규 소마아트파운데이션 신규 수강생 모집,미술에 관심있는 일반 성인,각 반14명,20200303,20200827,예술아카데미,700000,,"★ 코로나19로 인한 개강 연기에 따른 소마아트파운데이션 일정 변경
　- 개강일 변경 3.3(화)  5.19(화) , 3.5(목)  5.21(목)
--------------------------------------------------------------------------------------------------------------------

소마미술관 예술아카데미는 2020 봄학기 정규프로그램으로 파운데이션을 운영합니다. 한국예술종합학교(미술원)과 MOU를 체결하고 국내 최조 대학 커리큘럼을 일반성인 과정에 접목시켜 새로운 개념의 체계화된 커리큘럼의 강좌를 기획하였습니다. 파운데이션은 미술에서의 다양한 기법과 지식을 전수하는 학습이 아닌, 문화예술 기본 틀을 마련해주기 위한 과정으로서 창의적 사고력과 열린 마음으로 삶의 문제를 보다 적극적으로 해결하는 과정중심 수업으로 3년(6학기)으로 진행됩니다. 

★ 신청 전 달력 하단의 안내 및 접수 시 유의사항 확인바랍니다.
★ 접수 시 희망 반에 해당하는 날짜 하루만 클릭하여 신청바랍니다. (첨부파일의 신청방법 예시 참고) 
　(예) A반 수강 희망A반에 해당하는 날짜 중 하루만 클릭신청하기A반으로 신청 완료! 

▶ A반 (매주 화 10:00~13:00) : 5/19, 5/26, 6/2, 6/9, 6/16, 6/23, 6/30, 7/7, 7/14, 7/21, 7/28, 8/4, 8/11, 8/18, 8/25
▶ B반 (매주 목 10:00~13:00) : 5/21, 5/28, 6/4, 6/11, 6/18, 6/25, 7/2, 7/9, 7/16, 7/23, 7/30, 8/6, 8/13, 8/20, 8/27",14,접수마감,http://soma.kspo.or.kr/contents/education/class_let_view.asp?txtCLSS_SEQ_N=207=04,2.15(토) 11:00부터 홈페이지 선착순 접수,"학기별 15회 / A반(매주 화요일), B반(매주 목요일)",성인
공교육연계,"2023년 7월 소마특강 l 장욱진, 양주시립장욱진미술관",성인,40,20230726,20230726,소마미술관 세미나실,0,,"우리 미술관에서는 매월 마지막주 수요일 문화가 있는 날 소마특강을 개최합니다.

7월 소마특강은 장욱진 작가와 양주시립장욱진미술관을 주제로 김수연 양주시립장욱진미술관 학예사의 강의가 진행됩니다.

아래를 참고하시고, 많은 관심과 참여 부탁드립니다.

ㅇ주제 : 장욱진, 양주시립장욱진미술관
ㅇ일시 : 7월 26일 수요일 / 10:00~
ㅇ장소 : 소마미술관 세미나실
ㅇ정원 : 40명
ㅇ특강참가비 : 무료
ㅇ대상 : 성인

[접수 방법] 
아래의 달력에서 날짜(7/26) 클릭 - 우측의 접수신청 클릭 - 항목 입력 후 신청
*특강신청이 확정되면 ★확정문자★가 전송됩니다.
*특강신청 확정문자는 ★7월 11일★ 부터 순서대로 전송됩니다.",40,접수마감,http://soma.kspo.or.kr/contents/education/class_let_view.asp?txtCLSS_SEQ_N=300=04,2023년 7월 5일 수요일 15:00~,2023년 7월 26일 수요일 10:00~,성인
공교육연계,2019 전시 연계 세미나 드로잉으로 보는 한국 근현대 미술사,"성인,청소년",60명,20190420,20190420,소마미술관 세미나실,0,,"ㅇ 강연주제 / 강연자
      - 1주제 : 서양화가의 등장과 서양화단의 형성_1920-40년대 / 조은정
      - 2주제 : 동양화의 선(線)과 형상_1950-70년대 / 송희경 
      - 3주제 : 민중미술과 예술의 사회적 참여에 있어서 드로잉의 전개_1980-90년대 / 김준기
      - 4주제 : 포스트모더니즘과 드로잉 개념의 확장_2000년대 이후 / 최재원

ㅇ 접수방법 : 아래의 달력에서 날짜 클릭  우측의 접수신청 클릭  항목 입력 후 신청
ㅇ 문의 : 02-410-1044",60,접수마감,http://soma.kspo.or.kr/contents/education/class_let_view.asp?txtCLSS_SEQ_N=167=04,,2019년 4월 20일(토) 13:00~17:00,성인
공교육연계,10월 소마특강미술과 건축의 접점에서 도시문화를 말하다,일반 성인,60명,20191030,20191030,세미나실,0,,"건축은 도시에 있는 것만이 아니다. 미술 또한 미술관에만 머물지 않는다. 최근 동시대 문화예술에서 건축이 미술관으로 들어오기도 하고, 미술은 도시로 나가는 일이 무척 잦아지고 있다. 10월 소마특강에서는 미술과 건축의 접점을 통해 동시대 도시문화를 성찰하고, 새로이 도모되는 도시문화적 실천을 살펴본다.

■ 강사 : 심소미(독립 큐레이터)
동시대 도시문화를 바탕으로 전시기획을 해오고 있으며, 리얼-리얼시티(아르코미술관), 환상벨트(돈의문박물관마을), 건축에 반하여(세마창고), 마이크로시티랩(서울시 외부 장소 다수) 등의 전시와 공공미술 프로젝트를 기획했다. 2018년 제11회 이동석 전시기획상을 받았다.

■ 접수방법 : 아래의 달력에서 날짜 클릭  우측의 접수신청 클릭  항목 입력 후 신청",60,접수마감,http://soma.kspo.or.kr/contents/education/class_let_view.asp?txtCLSS_SEQ_N=195=04,,10월 문화가 있는 날,성인
공교육연계,9월 소마특강위니 더 푸의 미니멀라이프_비우고 찾은 소박한 행복,일반 성인,60명,20190925,20190925,소마미술관 세미나실,0,,"심플한 생활 속에서 소박한 행복을 찾은 위니 더 푸처럼, 우리 생활 속에서 불필요한 것들을 덜어내고, 작은 삶에서 찾는 여유와 행복을 이야기해 봅니다.

■ 강사 : 탁진현 (매거진심플리발행인 겸 편집장) 
　　　SBS TVSBS스페셜미니멀리스트 멘토로 출연(2019.03)
　　　EBS TV생각하는 콘서트강연(2019.03)
　　　『가장 단순한 것의 힘』, 홍익출판사, 2019

■ 접수방법 : 아래의 달력에서 날짜 클릭  우측의 접수신청 클릭  항목 입력 후 신청",60,접수마감,http://soma.kspo.or.kr/contents/education/class_let_view.asp?txtCLSS_SEQ_N=194=04,,9월 문화가 있는 날,성인
공교육연계,2019 조각_조각 조각가 워크숍,성인,회당 20명,20190928,20191130,"소마미술관 2관 교육실, 야외 조각공원",0,,"조각_조각(PIECES_SCUPLTURE)과 연계하여 전시 기획자와 참여 작가가 함께 작가의 작품 세계 및 전시 작품을 소개하는 프로그램입니다.
기존 올림픽공원 조각작품을 오마주(경의), 콜라보(협업), 하모니(조화) 등 3가지 컨셉으로 재해석한 작가와 전시 기획자의 대담 형식 등으로 진행됩니다.
　※ 프로그램 동선 : 소마미술관 2관 로비(출석 체크)교육실(작품세계 소개)조각공원(작품 감상, )

★ 접수방법 : 날짜별 작가 확인  하단의 달력에서 날짜 클릭  우측의 접수신청 클릭  항목 입력 후 신청

■ 날짜별 참여 작가 및 주제 (기존 작가/컨셉)
　9.28 이종서 : 모뉴먼트 조각에 대한 오마주 재해석 (문신 / 오마주)
　10.26 양수인 : 조각작품에 대한 건축가의 콜라보적인 재해석 (마티 쿠사잘로 / 콜라보)
　11.2 주연 : 유년 시절의 기억에 관한 오마주적인 재해석 (어윈 부름 / 오마주)
　11.9 윤두진 : 조각 작품의 재료적인 재해석1_화강석 (마르티네즈 리치에즈 / 하모니)
　11.16 박찬걸 : 조각 작품의 재료적인 재해석2_스텐리스 스틸 (칼 네스자르 / 하모니)
　11.23 권재현 : 조각 작품의 재료적인 재해석3_대리석 (미하엘 쉔홀츠 / 콜라보)
　11.30 육효진 : 철학적인 관계에 대한 매체적인 재해석 (이우환 / 오마주)",20,접수마감,http://soma.kspo.or.kr/contents/education/class_let_view.asp?txtCLSS_SEQ_N=192=04,,매주 토요일(택1회),성인
공교육연계,9월 소마특강 ㅣ Think sync 00: 동기화되는 00 생각하기,성인,40,20230920,20230920,소마미술관 세미나실,0,"인터넷이라는 통신망이자 가상의 공간, 정보의 바다가 세계를 거리와 시간의 제약을 넘어 묶은 이래로 우리의 삶은 많은 변화를 거쳐왔다. 물질로 이루어진 세계인 자연과 더불어 디지털 데이터로 이루어진 가상 세계는 또 다른 자연으로서 우리 곁에 있다. 가상과 실제 모두가 실재로서 존재하는 지금, 그 세계를 더 가까이, 효과적으로 감각하고 다루어나가는 기술 역시 빠른 발달속도를 유지하고 있다. 코로나 시점 필연적으로 다가온 것이 메타버스를 비롯한 가상세계에 기반한 일상일 것이다. 미디어 아트는 이러한 기술적 상황과 현상에 기민하게 반응하며 다채로운 관점과 해석, 화두를 던져왔다. 그렇게 펼쳐진 상황에 대해 동기화(sync)하며 다양한 각도로 생각해 볼 시점이다. 서울 올림픽공원에 위치한 소마미술관에서는 서울 올림픽 35주년을 맞아 올림픽과 메타버스를 연결한 전시를 진행한다. 이번 강의에서는 이러한 맥락과 연계하여 가상과 실제가 동기화하는 오늘의 상황에 반응하는 예술 활동을 통해 오늘날의. 이러한 연계된 혼합현실에 대해 다양한 이야기 공유를 시도한다.","우리 미술관에서는 매월 마지막주 수요일 문화가 있는 날 소마특강을 개최합니다.
 * 9월은 마지막주 추석 연휴기간으로 1주일 앞당겨 진행합니다.

아래를 참고하시고, 많은 관심과 참여 부탁드립니다.

ㅇ주제 : 서울올림픽개최 35주년 기념전 전시연계 특강_Think sync 00: 동기화되는 00 생각하기
ㅇ일시 : 9월 20일 수요일 / 10:00~
 * 9월은 마지막주 추석 연휴기간으로 1주일 앞당겨 진행합니다.
ㅇ장소 : 소마미술관 세미나실
ㅇ정원 : 40명
ㅇ특강참가비 : 무료
ㅇ대상 : 성인

[접수 방법] 
*특강신청이 확정되면 ★확정문자★가 전송됩니다.
*특강신청 확정문자는 ★9월 12일★ 부터 순서대로 전송됩니다.
*아래의 달력에서 날짜(9/20) 클릭 - 우측의 접수신청 클릭 - 항목 입력 후 신청",40,접수마감,http://soma.kspo.or.kr/contents/education/class_let_view.asp?txtCLSS_SEQ_N=309=04,9.6 (수) 15시 부터,10:00~12:00,성인
공교육연계,"7월 소마특강서양 미술의 수수께끼-미술이 상징과 엠블럼, 알레고리를 만났을 때",일반 성인,50명,20190731,20190731,세미나실,0,,"7월 소마특강에서는 미술이 알레고리를 만났을 때 이야기를 풀어보는 시간입니다.
알레고리는 문학적 개념과 달리, 미술에서는 하나의 추상명사를 의인화시킨 조형적 상상력을 보여줍니다. 동서남북, 지수화풍, 지혜, 절제, 탐욕, 질투, 사랑, 종교 등 모든 명사와 고유명사들이 알레고리로 표현될 수 있습니다. 동양미술에서 부재하는 알레고리 조형은 우리에게 낯선 분야이지만 서양미술을 만났을 때 감상, 해석의 실마리가 되는 중요한 내용이므로 서양 미술을 새로운 시각으로 볼 수 있는 유익한 시간이 될 것입니다.

■ 강사 : 노성두
　독일 퀼른대학교 철학 박사
　서울대학교 미학과, 사법연수원 등 출강
　인문학습원 교장
　바보배, 그리스 미술이야기 등 120여권의 저서와 역서

■ 접수방법 : 아래의 달력에서 날짜 클릭  우측의 접수신청 클릭  항목 입력 후 신청",50,접수마감,http://soma.kspo.or.kr/contents/education/class_let_view.asp?txtCLSS_SEQ_N=186=04,,7월 문화가 있는 날,성인
공교육연계,2024 소마아트파운데이션 신규 수강생 모집,성인대상,12,20240305,20240731,소마미술관 세미나실,900000,,"소마미술관에서는 새로운 개념의 체계화된 커리큘럼의 강좌인 소마아트파운데이션을 운영합니다. 미술에서의 다양한 기법과 지식을 전수하는 학습이 아닌, 문화예술 기본 틀을 마련해주기 위한 과정으로서 창의적 사고력과 열린 마음으로 삶의 문제를 보다 적극적으로 해결하는 과정 중심 수업입니다.

★ 신규 수강생의 경우 순서에 관계없이 A, B코스 중 학기 단위로 신청가능하며, A코스와 B코스 봄학기의 수강생을 추가 모집합니다.(달력 하단의 코스별 내용 참고)

▶A코스 봄학기 : 실험드로잉
　- 실험 드로잉은 관찰과 실습에 있어 다양한 표현에 중점을 둔다. 눈에서 손으로 이어지는 일련의 과정을 통해 신체적인 작용으로서 시선을 폭넓게 이해하고 인체의 다양한 감각 기관을 활성화한다. 특정한 형태의 재현에 집중하기보다는 새로운 관점으로 대상을 관찰하고 다양한 시각화 과정과 기법을 경험함으로써, 그리기의 다양한 실천적 측면을 이해하고 자연스럽고 유연한 표현 능력을 기른다.
　- 일정 : 매주 화 10:00~13:00 / 3.5~6.11

* 2025년 신입 회원부터 회원전은 참여할 수 없습니다.


▶B코스 봄학기 : 창작드로잉
　- 투시화법은 자연적 지각이 아닌 하나의 상징 형식이다. 이것은 시대적 문화적 배경에 따라 함께 변해온 하나의 인공적인 체계이다. 이 수업을 통해 다양한 투시의 체계를 학습해보고 눈앞의 풍경을 자신만의 시점으로 보고 그것을 평면에 표현하는 연습을 해본다. 이 과정을 통해 자신이 선택한 시점 자체가 작품을 이해하는 핵심적인 메세지로 전달 될 수 있다는 것을 경험한다.
　- 일정 : 매주 목 10:00~13:00 / 3.7~6.20 / *6.6 현충일 휴강

* 2025년 신입 회원부터 회원전은 참여할 수 없습니다.


★ 신청 방법 : 아래 달력에서 희망 반에 해당하는 날짜 하루만 클릭하여 신청바랍니다.
▶A코스 신청 : A코스 봄학기 개강일(3월 5일) 클릭  신청하기  필수입력항목 작성  신청 완료
▶B코스 신청 : B코스 봄학기 개강일(3월 7일) 클릭  신청하기  필수입력항목 작성  신청 완료

※ 재수강 인원에 따라 신규 수강생 모집 인원은 변경될 수 있습니다.",12,접수마감,http://soma.kspo.or.kr/contents/education/class_let_view.asp?txtCLSS_SEQ_N=322=04,2월 7일 수요일 15시~ 홈페이지 선착순 접수,3월~6월 주 1회 총 15회 수업,성인
공교육연계,5월 소마특강러시아 미술-분열의 고통 속에서 삶을 말하다,일반 성인,50명,20190529,20190529,소마미술관 세미나실,0,,"5월 소마특강에서는 격동적인 역사 속에서 인간의 삶에 대해 이야기했던, 유명한 러시아 문학 작가들의 작품들을 소개하고 이러한 작품들과 러시아 예술  특별히 러시아 미술과 음악과의 연관성을 살펴볼 것입니다. 이를 통해 우리에게 익숙하지 않은 러시아 미술에 대한 흥미로운 지식들을 얻을 뿐 아니라 러시아 예술을 통해 우리의 삶에 대한 새로운 시선을 만들어 갈 수 있을 것입니다.

※ 강사 : 이주홍
　　　모스크바 국립대학교 러시아어 문학 박사
　　　모스크바 재러한국경제인협회 공연기획 팀장
　　　서울대학교, 성균관대학교 강사
　　　전 공군사관학교 외국어과 교수

■ 접수방법 : 아래의 달력에서 날짜 클릭  우측의 접수신청 클릭  항목 입력 후 신청",50,접수마감,http://soma.kspo.or.kr/contents/education/class_let_view.asp?txtCLSS_SEQ_N=175=04,,5월 문화가 있는 날,성인
공교육연계,8월 소마특강미셸 푸코의 광기의 역사를 읽다,일반 성인,50명,20190828,20190828,,0,,"8월 소마특강은 미술, 철학을 만나다를 주제로 진행됩니다.
현대 프랑스 철학자 미셸 푸코의 1960년 박사학위 논문이기도 한 「광기의 역사」는 니체의 「비극의 탄생」에 등장하는 디오니소스/아폴론(음악/미술)의 도식을 이미지/텍스트(미술/문학)으로 변형시킵니다. 니체와 푸코의 책은 모두 미술, 음악, 문학이라는 예술의 영역에 철학과 과학의 사유를 결합시켜 자신만의 예술관을 만들어내고 있습니다.
8월 소마특강에서는 저자가 2018년에 저술안 「미셸 푸코의 광기의 역사 읽기」를 중심으로 1부는 강의, 2부는 책에 등장하는 음악, 미술, 문학 작품의 감상으로 채워집니다.

■ 강사 : 허경(철학학교 혜윰 교장)
고려대학교 불어불문과를 졸업하고 프랑스 스트라스부르대학교 철학과에서 「미셸 푸코와 근대성」으로 박사학위를 받았다. 고려대학교 철학연구소 연구교수를 역임했으며 현재는 철학학교 혜윰의 교장으로 일하고 있다. 지은책으로 『그때는 맞고 지금은 틀리다』, 『미술은 철학의 눈이다』(공저) 등이 있고, 옮긴 책으로는 질 들뢰즈의 『푸코』, 미셸 푸코의 『문학의 고고학』 등이 있다.

■ 접수방법 : 아래의 달력에서 날짜 클릭  우측의 접수신청 클릭  항목 입력 후 신청",50,접수마감,http://soma.kspo.or.kr/contents/education/class_let_view.asp?txtCLSS_SEQ_N=189=04,,8월 문화가 있는 날,성인
공교육연계,"4월 소마특강그려진 것, 그려지지 않은 것, 그려지고 있는 것에 관하여(素畵한국근현대드로잉전시연계)",일반 성인,50,20190424,20190424,소마미술관 세미나실,0,,"4월 소마특강은 素畵한국근현대드로잉전시연계로 진행됩니다.
작가, 작품 소개와 더불어 소마미술관이 드로잉에 대해 정의하고 있는 결과보다 과정, 개념보다 상상, 완성보다 실험에 초점을 두어 드로잉의 정의와 함께 다성적으로 영향을 받아 변화하는 미술의 위상을 이해해 보는 프로그램입니다. 이를 통해 서구의 예술 형식인 드로잉이 한국 내에서 어떻게 변형발전했는지 알아볼 수 있습니다.

※ 강사 : 이양헌(미술평론가)
국립현대미술관 창동레지던시(2017)와 인천아트플랫폼(2018)에서 연구자로 참여했다. 《Exhibition of Exhibition of Exhibition》(세실극장, 2018), 《비평실천》(산수문화,2017) 등을 기획했으며, 『아트인컬쳐』, 『미술세계』, 『퍼블릭아트』 등 다수의 매체를 통해 비평을 생산하고 있다.

■ 접수방법 : 아래의 달력에서 날짜 클릭  우측의 접수신청 클릭  항목 입력 후 신청",50,접수마감,http://soma.kspo.or.kr/contents/education/class_let_view.asp?txtCLSS_SEQ_N=170=04,,4/24(수),성인
공교육연계,2019 성인 정규아카데미 파운데이션 신규 수강생 모집,미술에 관심있는 일반 성인,각 반14명,20190305,20190627,예술아카데미,600000,,"소마미술관 예술아카데미는 2018 봄학기 정규프로그램으로 파운데이션을 운영합니다. 한국예술종합학교(미술원)과 MOU를 체결하고 국내 최조 대학 커리큘럼을 일반성인 과정에 접목시켜 새로운 개념의 체계화된 커리큘럼의 강좌를 기획하였습니다. 파운데이션은 미술에서의 다양한 기법과 지식을 전수하는 학습이 아닌, 문화예술 기본 틀을 마련해주기 위한 과정으로서 창의적 사고력과 열린 마음으로 삶의 문제를 보다 적극적으로 해결하는 과정중심 수업으로 3년(6학기)으로 진행됩니다.

★ 접수 시 희망 반에 해당하는 날짜 하루만 클릭하여 신청바랍니다. (첨부파일의 신청방법 예시 참고) 
　(예) A반 수강 희망A반에 해당하는 날짜 중 하루만 클릭신청하기A반으로 신청 완료! 

▶ A반 (매주 화요일 10:00~13:00) :  3/5,  3/12,  3/19,  3/26,  4/2,  4/9,  4/16,  4/23,  4/30,  5/7,  5/14,  5/21,  5/28,  6/4,  6/11
▶ B반 (매주 목요일 10:00~13:00) :  3/7,  3/14,  3/21,  3/28,  4/4,  4/11,  4/18,  4/25,  5/2,  5/9,  5/16,  5/23,  5/30,  6/13,  6/20",14,접수마감,http://soma.kspo.or.kr/contents/education/class_let_view.asp?txtCLSS_SEQ_N=151=04,,"학기별 15회 / A반(매주 화요일), B반(매주 목요일)",성인
공교육연계,2024 가을 소마아트파운데이션,성인,12,20240827,20241212,"세미나실, 1교육실",900000,A코스 관찰 워크숍 화요일  8. 27~12. 10B코스 매체 워크숍 목요일  8. 29~12. 12C코스 소통의 조건 화요일  8. 27~12. 10,"소마미술관에서는 새로운 개념의 체계화된 커리큘럼의 강좌인 소마아트파운데이션을 운영합니다. 미술에서의 다양한 기법과 지식을 전수하는 학습이 아닌, 문화예술 기본 틀을 마련해주기 위한 과정으로서 창의적 사고력과 열린 마음으로 삶의 문제를 보다 적극적으로 해결하는 과정 중심 수업입니다.

ㆍ A, B코스는 순서에 관계없이 신청가능하며, C코스는 A, B코스를 모두 수강하셔야 신청 가능합니다.",12,접수마감,http://soma.kspo.or.kr/contents/education/class_let_view.asp?txtCLSS_SEQ_N=350=04,매년 초 접수,주1회 10:00 ~ 13:00,성인
