종목명,부종목명,시도명,시군구명,프로그램명,장애유형명,운영시간,프로그램소개내용,모집시작일,모집종료일,운영시작일,운영종료일
검도,,대전광역시,대전광역시 유성구,2023 이삭 검도,발달(지적/자폐)장애,월 15:00 ~ 16:00,,2023-04-10,2023-11-29,2023-04-10,2023-11-29
검도,,경기도,경기도 가평군,2023년 가평군 심신단련 검도교실,발달(지적/자폐)장애,금 10:00-12:00,,2023-02-01,2023-02-28,2023-03-10,2023-10-31
검도,,인천광역시,인천광역시 서구,발달장애인검도교실,발달(지적/자폐)장애,목 14:30~15:30,사업명: 2023년 발달장애인 검도교실  운영기관: 인천광역시서구장애인주간보호센터  장소: 대한검도회 연희검도관,2023-03-01,2023-06-01,2023-05-04,2023-11-30
검도,,대전광역시,대전광역시 동구,2023 대전광역시 검도교실,발달(지적/자폐)장애,수 18:00 ~ 19:00,,2023-05-03,2023-11-15,2023-05-03,2023-11-15
검도,,서울특별시,서울특별시 강서구,(지방비) 2023 강서구 지적장애  직장인교실 생활체육 검도교실,발달(지적/자폐)장애,수 14:00~15:00,,2023-03-21,2023-09-13,2023-04-05,2023-09-13
검도,,제주특별자치도,제주특별자치도 제주시,(지방비) 2023년 지적장애인검도교실,발달(지적/자폐)장애,매주 금요일 17:00~18:00,,2023-03-01,2023-11-30,2023-04-01,2023-11-30
검도,,경기도,경기도 포천시,(국비)곰두리 검도 교실,발달(지적/자폐)장애,매주 화요일 13:00~15:00,,2023-03-20,2023-03-30,2023-04-04,2023-10-31
검도,,인천광역시,인천광역시 서구,2023년 발달장애인검도교실,발달(지적/자폐)장애,목 14:30~15:30,주관처: 서구장애인주간보호센터,2023-03-01,2023-04-30,2023-06-01,2023-11-30
게이트볼,,대구광역시,대구광역시 동구,2023년 대구장애어르신게이트볼체육교실(안심복지관),지체(척수 및 절단 및 기타)장애,매주 화 14:00~16:00,안심복지관에서 운영하는 어르신게이트볼생활체육교실입니다.,2023-02-01,2023-02-01,2023-02-01,2023-02-01
게이트볼,,충청남도,충청남도 부여군,(기금)2023년 게이트볼교실,청각장애,매주 목요일 10:00,,2023-03-16,2023-10-19,2023-03-16,2023-10-19
게이트볼,,경기도,경기도 오산시,게이트볼교실,시각장애,매주 수 10시,,2023-03-01,2023-10-31,2023-04-01,2023-10-31
게이트볼,,경기도,경기도 파주시,파주시장애인게이트볼생활체육교실,지체(척수 및 절단 및 기타)장애,"매주 일, 오후2시~4시",,2023-04-01,2023-10-31,2023-04-01,2023-10-31
게이트볼,,경기도,경기도 구리시,구리시 게이트볼 교실,지체(척수 및 절단 및 기타)장애,목 10:00-12:00,,2023-02-01,2023-03-01,2023-03-01,2023-10-31
게이트볼,,경기도,경기도 양주시,양주시 시각게이트볼교실,시각장애,화 10:00~12:00,,2023-02-01,2023-03-31,2023-03-21,2023-10-31
게이트볼,,충청북도,충청북도 음성군,(도비) 2023 음성군장애인복지관 게이트볼교실,기타장애,수 13:00~15:00,,2023-03-01,2023-10-30,2023-03-01,2023-10-31
게이트볼,,경기도,경기도 동두천시,동두천시 장애인 게이트볼교실,기타장애,수요일 11:00~12:00,동두천시 장애인 게이트볼교실입니다.,2023-02-01,2023-03-31,2023-03-01,2023-12-30
게이트볼,,충청북도,충청북도 음성군,(도비) 2023 음성군 샛별게이트볼교실,지체(척수 및 절단 및 기타)장애,수13:00~17:00,,2023-03-02,2023-10-31,2023-03-02,2023-10-31
게이트볼,,경상북도,경상북도 안동시,노인정신장애인들의 체력증진을 위한 게이트볼 교실,기타장애,화 14:00 ~ 15:00,,2023-03-01,2023-03-31,2023-04-04,2023-10-31
게이트볼,,경기도,경기도 가평군,2023년 가평군 어울림 게이트볼교실,발달(지적/자폐)장애,화 14:00-16:00,,2023-02-01,2023-02-28,2023-03-07,2023-10-31
게이트볼,,전라북도,전라북도 남원시,2023 전북장애인생활체육 게이트볼교실(청각),청각장애,매주 토 오전10시,,2023-03-01,2023-04-30,2023-06-01,2023-11-30
게이트볼,,경기도,경기도 가평군,2023 가평군 시각장애인 게이트볼 교실,시각장애,수 14:00~16:00,,2023-02-01,2023-02-28,2023-03-08,2023-10-31
게이트볼,,충청북도,충청북도 괴산군,(도비) 2023 장애인생활체육 괴산 Deaf 게이트볼 교실,청각장애,"화,목 10:00~12:00",,2023-03-16,2023-03-31,2023-04-04,2023-09-14
게이트볼,,경기도,경기도 구리시,청각장애인게이트볼교실,청각장애,매주화요일 10:00~12:00,,2023-03-27,2023-08-31,2023-04-04,2023-09-26
게이트볼,,경기도,경기도 부천시,생활체육 게이트볼 교실,지체(척수 및 절단 및 기타)장애,매주 수요일 09:00~10:00,,2023-04-01,2023-10-01,2023-04-01,2023-11-30
게이트볼,,전라북도,전라북도 고창군,2023 전북장애인생활체육게이트볼교실(고창군),지체(척수 및 절단 및 기타)장애,매주 수 15:00~17:00,,2023-05-01,2023-11-30,2023-05-01,2023-11-30
게이트볼,,충청남도,충청남도 아산시,(기금)2023년 아산시장애인게이트볼교실,지체(척수 및 절단 및 기타)장애,매주 수 13:00~15:00,,2023-01-01,2023-12-31,2023-03-22,2023-10-11
게이트볼,,대전광역시,대전광역시 서구,2023 농인 게이트볼 교실,청각장애,금 09:30 ~ 11:30,,2023-05-12,2023-11-24,2023-05-12,2023-11-24
게이트볼,,전라북도,전라북도 무주군,2023 전북장애인생활체육 게이트볼교실,청각장애,매주 목 15:00~17:00,,2023-03-01,2023-04-30,2023-05-25,2023-11-16
게이트볼,,대전광역시,대전광역시 서구,2023 우리누리 게이트볼 교실,기타장애,"월, 금 10:30 ~ 11:30",,2023-04-12,2023-10-23,2023-04-12,2023-10-23
게이트볼,,경기도,경기도 용인시,용인시 이성진 지도자 처인장애인복지관 게이트볼교실 (11명),지체(척수 및 절단 및 기타)장애,매주 금요일 13:30~14:30,,2022-12-01,2022-01-31,2023-02-24,2023-12-29
게이트볼,,서울특별시,서울특별시 동대문구,(기금) 2023 동대문구 다유형 생활체육  게이트볼 교실,지체(척수 및 절단 및 기타)장애,목 15:00~16:30,(기금) 2023 동대문구 다유형 생활체육  게이트볼 교실,2023-02-01,2023-03-30,2023-04-01,2023-10-31
게이트볼,,전라북도,전라북도 전주시,2023 전북장애인생활체육 전주황방장애인게이트볼,지체(척수 및 절단 및 기타)장애,매주 금 오후 1시,,2023-01-01,2023-04-30,2023-05-01,2023-11-30
게이트볼,,경기도,경기도 용인시,용인시 이성진 지도자 농아인협회 게이트볼교실 (12명),청각장애,매주 월요일 14:30~16:30,,2022-12-01,2022-01-31,2023-03-20,2023-12-18
게이트볼,,경기도,경기도 화성시,화성시 이수정 지도자 게이트볼 교실 8명,청각장애,13:10~13:50,,2023-02-01,2023-12-22,2023-02-01,2023-12-22
게이트볼,,서울특별시,서울특별시 송파구,(지방비) 2023 송파구 청각장애 생활체육 게이트볼 교실,청각장애,금 14:00~16:00,2023 송파구 청각장애 생활체육 게이트볼 교실,2023-04-01,2023-04-30,2023-05-01,2023-09-30
게이트볼,,경기도,경기도 여주시,여주시장애인게이트볼교실,지체(척수 및 절단 및 기타)장애,매주 수 10:00  ~ 12:00,,2023-02-10,2023-10-30,2023-06-05,2023-11-13
게이트볼,,경기도,경기도 김포시,김포시농아인게이트볼교실,청각장애,14:00~16:00,김포시농아인게이트볼교실,2023-02-15,2023-12-01,2023-02-15,2023-12-01
게이트볼,,서울특별시,서울특별시 양천구,(지방비) 2023 양천구 지적장애인 생활체육 게이트볼교실,발달(지적/자폐)장애,월 13:00~15:00,2023 양천구 지적장애인 생활체육 게이트볼교실,2023-03-01,2023-03-31,2023-04-01,2023-10-31
게이트볼,,충청남도,충청남도 홍성군,(군비) 홍성군 게이트볼교실,기타장애,매주 화 13:30,2023년 홍성군 생활체육교실 운영(게이트볼교실),2023-01-01,2023-12-31,2023-03-07,2023-12-26
게이트볼,,경기도,경기도 안성시,안성시 농아인 게이트볼교실,청각장애,토요일 10:00~12:00,,2023-02-13,2023-03-03,2023-04-08,2023-10-28
게이트볼,,전라북도,전라북도 전주시,2023 전북장애인생활체육 전주백마게이트볼,지체(척수 및 절단 및 기타)장애,매주 화 오전 10시,,2023-01-01,2023-04-30,2023-05-01,2023-11-30
게이트볼,,세종특별자치시,세종특별자치시 ,2023년 농아인 게이트볼교실(농아인체육연맹),청각장애,매주 수 13:30~15:30,세종시농아인체육연맹에서 운영하는 게이트볼교실,2023-03-15,2023-03-31,2023-04-12,2023-09-27
게이트볼,,세종특별자치시,세종특별자치시 ,2023년 농아인 게이트볼교실(농아인체육연맹),청각장애,매주 목 09:50~11:50,세종시농아인체육연맹에서 운영하는 게이트볼교실,2023-03-15,2023-03-31,2023-04-06,2023-10-26
게이트볼,,대구광역시,대구광역시 수성구,2023년 대구장애인게이트볼체육교실(수성구센터),기타장애,"매주 화,목 10:00~11:00",수성장애인주간보호센터에서 운영하는 지역장애인 대상 게이트볼생활체육교실입니다.,2023-02-01,2023-02-07,2023-04-01,2023-10-31
게이트볼,,강원도,강원도 원주시,(기금)2023 원주시농아인협회 게이트볼교실,청각장애,"화,목 09:30~12:00",농아인 어르신의 건강한 생활과 체력증진을 위한 게이트볼 교실,2023-03-27,2023-04-03,2023-04-04,2023-12-28
게이트볼,,울산광역시,울산광역시 중구,2023 장애인생활체육 농아인 게이트볼교실,청각장애,금 10:10~11:10,-농아인협회를 통하여 지원자 모집  -담당자 : 조상욱 수어통역사 010-2465-9908,2023-01-01,2023-12-31,2023-01-01,2023-12-31
게이트볼,,강원도,강원도 강릉시,(기금)2023 강릉시장애인게이트볼연맹 게이트볼교실,지체(척수 및 절단 및 기타)장애,"매주 월,수,금 오후2시",강릉시장애인체육회에서 운영하는 장애인게이트볼 교실입니다.,2023-03-01,2023-12-31,2023-03-01,2023-12-31
게이트볼,,강원도,강원도 영월군,(기금)2023 영월군장애인체육회 농아인게이트볼교실,청각장애,"매주 목, 10:00~12:00",2023년 영월군장애인체육회 농아인 게이트볼교실,2023-03-16,2023-04-05,2023-04-06,2023-09-21
게이트볼,,경기도,경기도 하남시,하남시 시각장애인게이트볼 교실,시각장애,"화, 목 14:00~15:00",,2023-03-01,2023-10-31,2023-04-01,2023-10-31
게이트볼,,전라남도,전라남도 완도군,2023 전남 완도군 장애인생활체육 어르신게이트볼교실,청각장애,10:00~11:00,완도군 등록장애인 누구나 참여 하여 건강하 신체 활동 즐기세요.,2023-03-01,2023-03-31,2023-04-01,2023-12-31
게이트볼,,경기도,경기도 성남시,(국비)어르신게이트볼교실,지체(척수 및 절단 및 기타)장애,매주 목/13시~15시,어르신게이트볼교실 운영,2023-03-01,2023-04-30,2023-04-01,2023-10-31
게이트볼,,전라남도,전라남도 순천시,2023 전남 순천시 장애인생활체육 어르신게이트볼교실,지체(척수 및 절단 및 기타)장애,13:30~14:30,,2023-03-01,2023-03-31,2023-04-01,2023-12-31
게이트볼,,경기도,경기도 포천시,포천시 장애인 게이트볼생활체육교실,청각장애,"매주 화, 목 10:00~12:00",포천시 게이트볼 생활체육 교실입니다.,2023-02-15,2023-03-31,2023-04-04,2023-10-31
게이트볼,,전라남도,전라남도 장성군,2023 전남 장성군 시니어게이트볼교실,지체(척수 및 절단 및 기타)장애,10:00~11:00,,2023-03-01,2023-03-31,2023-04-01,2023-12-31
게이트볼,,제주특별자치도,제주특별자치도 제주시,2023년 장애인생활체육게이트볼교실,지체(척수 및 절단 및 기타)장애,매주 목요일 10:00~12:00,,2023-03-01,2023-11-30,2023-04-01,2023-11-30
게이트볼,,제주특별자치도,제주특별자치도 제주시,2023년 청각언어장애인 게이트볼교실,청각장애,매주 수요일 10:00~12:00,,2023-03-01,2023-11-30,2023-04-01,2023-11-30
게이트볼,,충청남도,충청남도 홍성군,(기금) 2023년 홍성군 여성장애인 게이트볼교실,지체(척수 및 절단 및 기타)장애,매주 목 14:30~15:30,게이트볼 종목 활성화 및 우수선수 육성을 위한 여성장애인 교실 운영,2023-01-01,2023-12-31,2023-03-02,2023-10-26
게이트볼,,충청남도,충청남도 계룡시,계룡시 장애인 어르신 게이트볼교실,지체(척수 및 절단 및 기타)장애,"매주 월,목 15:00~16:00",,2023-03-13,2023-09-07,2023-03-13,2023-09-07
게이트볼,,광주광역시,광주광역시 서구,(기금)2023 광주 청각장애 게이트볼교실(한혜정),청각장애,매주 금 13:30~15:30,,2022-12-01,2023-01-30,2023-04-07,2023-09-22
게이트볼,,광주광역시,광주광역시 서구,2023년 광주 어르신장애인 게이트볼교실(이계정),지체(척수 및 절단 및 기타)장애,매 주 화 14:00~16:00,,2023-03-21,2023-03-25,2023-04-04,2023-10-24
게이트볼,,서울특별시,서울특별시 중랑구,(기금) 중랑구 어울림 생활체육 게이트볼 교실,기타장애,매주 수 14:00~16:00,중랑구 어울림 생활체육 게이트 볼 교실  -신체 활동을 통한 건강 증진과 스트레스를 해소 할 수 있는 기회 제공합니다.,2023-03-13,2023-04-04,2023-04-05,2023-09-20
게이트볼,,전라남도,전라남도 화순군,2023 전남 화순군 장애인생활체육 게이트볼교실,지체(척수 및 절단 및 기타)장애,10:00~11:00,,2023-03-01,2023-03-31,2023-04-01,2023-12-31
게이트볼,,전라남도,전라남도 광양시,2023 전남 광양시 장애인생활체육 청각장애인 게이트볼교실,청각장애,10:00~12:00,,2023-03-01,2023-03-31,2023-04-01,2023-12-31
게이트볼,,대구광역시,대구광역시 달서구,2023년 대구장애어르신게이트볼교실(샘학교),지체(척수 및 절단 및 기타)장애,매주 월 14:00~15:00,대구샘기억학교에 운영하는 어르신실내게이트볼생활체육교실입니다.,2023-02-01,2023-03-01,2023-04-03,2023-10-31
골볼,,경기도,경기도 오산시,골볼교실,시각장애,"매주 월, 목 14시",,2023-03-01,2023-10-31,2023-04-01,2023-10-31
골볼,,전라북도,전라북도 익산시,2023 전북장애인생활체육 골볼교실,시각장애,수 14:00~16:00,,2023-04-01,2023-05-31,2023-06-01,2023-11-30
골볼,,광주광역시,광주광역시 서구,(기금)2023년 광주 시각장애인 골볼교실(김경자),시각장애,매 주 일 8:00~10:00,,2023-03-21,2023-03-25,2023-04-09,2023-10-15
골볼,,충청남도,충청남도 홍성군,(기금) 2023년 홍성군 시각장애인 골볼교실,시각장애,매주 월 14:30~16:00,골볼 종목의 활성화 및 시각장애인의 건강증진을 위한 교실,2023-01-01,2023-12-31,2023-03-06,2023-10-30
골볼,,충청남도,충청남도 보령시,(시비)2023년 골볼교실,시각장애,화13:00~15:00,,2023-04-03,2023-10-31,2023-04-03,2023-10-31
골볼,,광주광역시,광주광역시 동구,(기금)2023년 광주장애인생활체육 골볼교실(김경자),시각장애,매주 일 8:00~10:00,,2023-01-01,2023-04-01,2023-04-02,2023-10-29
궁도,,전라북도,전라북도 남원시,2023 전북장애인생활체육 국궁교실,기타장애,매주 목 오전14시,,2023-03-01,2023-04-30,2023-06-01,2023-11-30
기타,요가,경기도,경기도 성남시,바른자세바른요가교실,발달(지적/자폐)장애,월요일 17:40~20:00,,2023-03-01,2023-03-31,2023-04-03,2023-10-30
기타,기타,대구광역시,대구광역시 동구,2023년 대구지적장애뉴스포츠체육교실(더불어마을),발달(지적/자폐)장애,매주 수요일 11:00~12:00,더불어진인마을에서 운영하는 장애인 뉴스포츠 체육교실입니다.   뉴스포츠에 관심있는 20세 이상 지적장애인분들을 모집합니다.,2023-02-01,2023-03-01,2023-04-01,2023-11-15
기타,기타,대구광역시,대구광역시 달성군,2023년 대구어르신장애인한궁체육교실(덕수학교),발달(지적/자폐)장애,매주 화요일 10:30~11:30,"한궁은 한국전통 투호와 국궁 그리고 서양의 타겟 스포츠 종목인 다트와 양궁의 장점을 접목시킨 생활체육 종목이다. 어르신들의 삶에   활력을 불어넣기 위한 프로그램으로이며, 바른자세로 양손 투구를 함으로써, 팔의 유연성 및 근력을 키우고, 신체의 좌우 평형선을 높이는데  도움을 준다.",2023-02-01,2023-03-31,2023-04-04,2023-10-24
기타,음악줄넘기,대구광역시,대구광역시 달성군,2023년 대구지적장애음악줄넘기체육교실(사랑마을),발달(지적/자폐)장애,매주 화요일 10:30~11:30,줄넘기는 남녀노소 누구나 언제 어디서든 할 수 있는 쉽고 친근한 운동입니다.   전문강사의 도움으로 줄넘기를 접해보지 않은 이용자들을 대상으로 수준차이를 고려하여 줄넘기를 쉽고 재미있게 배울 수 있도록 합니다.   꾸준한 연습으로 기초체력 향상에 도움이 될 수 있도록 합니다.,2023-02-01,2023-03-31,2023-04-04,2023-10-24
기타,음악줄넘기,대구광역시,대구광역시 달서구,2023년 대구발달장애음악줄넘기체육교실(달구벌복지관),발달(지적/자폐)장애,"매주 월13:00~,목13:20~","대구광역시달구벌종합복지관에서 운영하는 발달장애인음악줄넘기 체육교실입니다.   성인발달장애인에게 정신적, 신체적건강유지와 사회적응력 향상시키고, 체육활동을 통해 자신감과 체력증진을 위한 음악줄넘기 교실입니다.",2023-02-01,2023-03-31,2023-04-01,2023-10-31
기타,뉴스포츠,경기도,경기도 광주시,광주시 장애인 뉴스포츠 교실,발달(지적/자폐)장애,월요일 10:00~12:00,,2023-10-01,2023-02-10,2023-04-03,2023-09-22
기타,에어로빅,대구광역시,대구광역시 달성군,2023년 대구지적장애에어로빅체육교실(한사랑마을),발달(지적/자폐)장애,"매주 화, 목 13:30~14:30","외부활동 및 운동 부족한 장애인들에게 에어로빅 교실을 통하  여 건강 및 정서적 안정을 도모하고 장애인의 자존감 향상을 도와준다.  한사랑마을 내에 공간을 활용하여 장애인과 비장애인이   함께하는 에어로빅 교실을 통하여 건강한 신체를 유지하고,   적극적인 참여를 통해서 사회구성원의 역할을 생각 할 수 있도록 한다.  지역사회주민과 함께하는 참여하는 에어로빅 교실을 통하여 생활체육의 저변 확대와 장애인에 대한 인식을 개선하고   지역사회와 공생을 할 수 있도록 한다.",2023-03-01,2023-04-01,2023-05-01,2023-10-31
기타,,대구광역시,대구광역시 달서구,2023년 대구시각장애한궁체육교실(시각복지관),시각장애,매주 금요일 10:00~12:00,"대구시각장애인복지관에서 운영하는 한궁체육교실입니다.   한궁이란 생활체육 스포츠 종목으로 다트와 양궁의 장점을 융합하여  탄생한 뉴스포츠 종목입니다. 한궁은 연령, 성별의 구분 없이   누구나 참여할 수 있으며 집중력 향상, 신체의 유연성 및   좌우 균형을 발달하는데 효과적입니다.  한궁에 관심이 있는 시각장애인 누구나 참여 가능합니다.",2023-02-01,2023-03-31,2023-04-01,2023-10-30
기타,기타,대구광역시,대구광역시 달성군,2023년 대구장애어르신한궁교실(덕수기억학교),기타장애,매주 화 10:30 ~11:30,덕수기억학교 이용중인 장애어르신  대상으로 집중력 향상과 흥미를 높여 생활체육에 대한 인식을 높인다.,2023-02-01,2023-03-01,2023-04-11,2023-10-31
기타,풋살,경기도,경기도 파주시,파주시발달장애인생활체육교실,발달(지적/자폐)장애,"매주 수, 오후 5시 ~ 6시",,2023-04-01,2023-10-31,2023-04-01,2023-10-31
기타,,경기도,경기도 용인시,Swing골프교실,발달(지적/자폐)장애,월 17:30~19:30,,2023-01-31,2023-02-13,2023-03-27,2023-10-30
기타,뉴스포츠,경기도,경기도 안성시,안성시 장애인 축구 및 뉴스포츠 교실,발달(지적/자폐)장애,월/수 18:30~19:30,,2023-02-13,2023-03-16,2023-04-03,2023-08-02
기타,생활체조,경기도,경기도 파주시,파주시활력체조교실,발달(지적/자폐)장애,"매주 목, 오전 10시 ~ 12시",,2023-03-02,2023-10-27,2023-03-02,2023-10-27
기타,에어로빅,경기도,경기도 안성시,안성시 장애인 에어로빅교실,발달(지적/자폐)장애,토요일 10:00~11:00,,2023-02-13,2023-03-18,2023-04-08,2023-09-23
기타,쇼다운,경기도,경기도 파주시,파주시 쇼다운 생활체육교실,시각장애,"매주 목, 오후 1시 ~ 3시",,2023-04-01,2023-10-31,2023-04-01,2023-10-31
기타,쇼다운,경기도,경기도 김포시,김포시장애인쇼다운교실,시각장애,목 09:30~11:30,김포시시각장애인쇼다운교실입니다.,2023-01-01,2023-12-31,2023-03-09,2023-10-19
기타,기타,경기도,경기도 과천시,과천시 다누리 체육교실,발달(지적/자폐)장애,"화, 목 13:00~15:00",,2023-02-01,2023-02-28,2023-03-02,2023-07-20
기타,풋살,경기도,경기도 광주시,광주시 장애인 지적풋살 교실,발달(지적/자폐)장애,토 12:30~13:30,,2023-02-01,2023-02-10,2023-03-04,2023-09-02
기타,기타,경기도,경기도 광주시,광주시 장애인 기초체력 교실,발달(지적/자폐)장애,화/목 16:30~17:30,,2023-02-01,2023-02-10,2023-03-21,2023-07-04
기타,,경기도,경기도 광명시,광명시청소년수련관 밸런스 스태킹교실,발달(지적/자폐)장애,11시~12시,,2023-03-01,2023-03-31,2023-03-01,2023-10-31
기타,,경기도,경기도 광명시,광명시청소년수련관 뉴스포츠교실,발달(지적/자폐)장애,11시~12시,,2023-03-01,2023-03-31,2023-03-01,2023-10-31
기타,,경기도,경기도 구리시,구리시 시각장애인 한궁교실,시각장애,목 11:00-12:00,,2023-02-01,2023-03-01,2023-03-01,2023-10-31
기타,골프,경기도,경기도 구리시,구리시 필드골프 교실,지체(척수 및 절단 및 기타)장애,화 18:00-20:00,,2023-02-01,2023-03-01,2023-03-01,2023-10-31
기타,특수체육,경기도,경기도 의왕시,의왕시 장애인 성인건강체력교실,기타장애,목요일 16:00~17:00,,2023-03-01,2023-04-01,2023-04-06,2023-10-26
기타,기타,경기도,경기도 가평군,2023년 가평군 한마음 라인댄스교실,발달(지적/자폐)장애,월 14:00-16:00,,2023-02-01,2023-02-28,2023-03-06,2023-10-31
기타,생활체조,경기도,경기도 의왕시,의왕시 장애인 언택트 교실,기타장애,목요일 14:00~15:00,,2023-03-01,2023-04-01,2023-04-06,2023-10-26
기타,에어로빅,경기도,경기도 가평군,2023 가평군 장애인 에어로빅 교실,발달(지적/자폐)장애,화 10:00 ~ 12:00,,2023-02-01,2023-02-28,2023-03-07,2023-10-31
기타,요가,경기도,경기도 가평군,2023 가평군 장애인 여성요가 교실,발달(지적/자폐)장애,화 09:00 ~ 11:00,,2023-02-01,2023-02-28,2023-03-14,2023-10-31
기타,요가,충청북도,충청북도 단양군,(기금)2023 장애인생활체육 다래요가교실,발달(지적/자폐)장애,화요일 14:00~15:00,,2023-02-20,2023-04-25,2023-04-25,2023-10-31
기타,기타,경기도,경기도 부천시,부천시 우슈생활체육교실,시각장애,"매주 월,수 13:00~14:00",,2023-02-23,2023-03-05,2023-03-13,2023-09-13
기타,,경기도,경기도 동두천시,"동두천시 장애인 복지관교실(탁구,체조)",기타장애,화요일 13:00~14:00,"동두천시 장애인종합복지관 탁구, 체조교실입니다.",2023-02-01,2023-03-31,2023-03-01,2023-12-30
기타,기타,경기도,경기도 양주시,양주시 장애인 e스포츠  레이저건 사격교실,발달(지적/자폐)장애,목요일 14:30~15:30,,2023-02-01,2023-03-31,2023-03-02,2023-09-07
기타,기타,경기도,경기도 양주시,양주시 장애인댄스교실,발달(지적/자폐)장애,금요일 10:00~12:00,,2023-02-01,2023-03-31,2023-03-01,2023-10-31
기타,특수체육,경기도,경기도 양주시,양주시 주간보호시설 체육교실,발달(지적/자폐)장애,금요일 11:00~12:00,,2023-02-01,2023-03-31,2023-03-17,2023-09-22
기타,뉴스포츠,경기도,경기도 양주시,양주시 행복한 주간보호센터 체육교실 11명,발달(지적/자폐)장애,목요일 13:30~14:30,,2023-02-01,2023-03-31,2023-03-01,2023-09-07
기타,,부산광역시,부산광역시 동구,휠체어라이딩길라잡이,지체(척수 및 절단 및 기타)장애,토 10:00~14:00,,2023-01-01,2023-12-31,2023-01-01,2023-12-31
기타,특수체육,경기도,경기도 부천시,부천장애인종합복지관(건강지킴교실),발달(지적/자폐)장애,매주 13:00 ~ 15:00,,2023-03-01,2023-03-07,2023-03-01,2023-10-31
기타,빙상,경기도,경기도 고양시,펭귄스케이트교실,발달(지적/자폐)장애,20:00~21:00,,2023-01-01,2023-02-28,2023-03-01,2023-12-31
기타,스트레칭,경기도,경기도 고양시,우리함께크로스핏교실,발달(지적/자폐)장애,13:00~15:00,,2023-01-01,2023-02-28,2023-03-01,2023-12-31
기타,특수체육,경기도,경기도 고양시,고양시풋센발리볼교실,발달(지적/자폐)장애,09:30~11:30,,2023-01-01,2023-02-28,2023-03-01,2023-12-31
기타,,경기도,경기도 용인시,아이비전 통합골프교실,지체(척수 및 절단 및 기타)장애,금 17:30~19:00,,2023-01-31,2023-02-13,2023-04-01,2023-09-22
기타,,경기도,경기도 용인시,재활운동교실,뇌병변장애,화 14:00~16:00,,2023-01-31,2023-02-13,2023-03-28,2023-10-18
기타,기타,충청북도,충청북도 충주시,(도비)2023 장애인생활체육 리듬복싱교실,발달(지적/자폐)장애,매주 목 오후 13:30~14:30,,2023-02-20,2023-03-30,2023-04-06,2023-10-12
기타,뉴스포츠,충청북도,충청북도 충주시,(도비)2023 장애인생활체육 방과후 뉴스포츠교실,발달(지적/자폐)장애,매주 월 오후 15:30~16:30,,2023-02-20,2023-02-28,2023-03-06,2023-10-30
기타,기타,충청북도,충청북도 충주시,(도비)2023 장애인생활체육 바른체형운동교실,기타장애,매주 화 오후 13:00~14:00,,2023-02-20,2023-02-28,2023-03-07,2023-09-05
기타,요가,충청북도,충청북도 충주시,(도비)2023 장애인생활체육 어울림 요가교실,기타장애,매주 수 오후 15:00~16:00,,2023-02-20,2023-02-28,2023-03-08,2023-08-30
기타,스트레칭,충청북도,충청북도 충주시,(도비)2023 장애인생활체육 스트레칭교실,발달(지적/자폐)장애,매주 월 오전 10:30~11:30,,2023-02-20,2023-03-20,2023-03-21,2023-10-16
기타,요가,충청북도,충청북도 충주시,(도비)2023 장애인생활체육 다사랑 요가교실,발달(지적/자폐)장애,매주 화 오전 10:00~12:00,,2023-02-20,2023-02-28,2023-03-07,2023-10-31
기타,택견,충청북도,충청북도 충주시,(도비)2023 장애인생활체육 다사랑 택견교실,발달(지적/자폐)장애,매주 수 오후 19:00~20:00,,2023-02-20,2023-03-30,2023-04-05,2023-10-25
기타,뉴스포츠,충청북도,충청북도 충주시,(기금)2023 장애인생활체육 어린이 뉴스포츠교실,발달(지적/자폐)장애,매주 금 오전 10:00~11:00,,2023-02-20,2023-03-30,2023-04-07,2023-10-27
기타,기타,충청북도,충청북도 충주시,(도비)2023 장애인생활체육 다솜 뉴스포츠교실,발달(지적/자폐)장애,매주 목 오후 14:00~15:00,"○ 킥복싱 수업을 통해 참여자(장애인 19명)의 자신감, 자기방어능력,근력,유연성,균형감각,유산소 운동으로 심장 및 폐기능을 향상 및  체지방 감소, 스트레스 해소를 도모   ○ 스포츠 활동 참여자 개인의 심리적, 신체적 성장과 자기만족을 위한 자발적 동기 부여의 기회를 제공하여 일상의 활력과 성취감을 통해 자신의 주변 사회적 환경에서의 긍정적인 역할 향상 도모     ○ 회기별 프로그램의 체계적인 목표 달성 활동을 통해 자존감 향상 도모 및 일상의 심리적 사고에 긍정적 영향 기대    ○ 공정한 경기 활동을 통해 선의의 경쟁의식을 함양 및 사회적응능력 향상     ○ 신체적 기능회복을 도모하여 공통의 여가선용과 자기개발로 정서적 건강과 회복을 기대    ○ 단체활동을 통한 참여자들의 의사소통능력 증진을 통한 유대감 형성과 소속감, 협동심 향상    ○ 장애 당사자가 스스로 자신의 신체적 한계를 극복함과 동시에 가능성을 발견함으로서 새로운 동기부여의 기회 제공",2023-02-20,2023-02-28,2023-03-09,2023-09-14
기타,,경기도,경기도 오산시,생활체육교실,발달(지적/자폐)장애,"매주 수 10시~12시, 14시~16",,2023-03-01,2023-10-31,2023-03-22,2023-10-31
기타,,경기도,경기도 오산시,생활체조교실,시각장애,매주 금 오전 10시,,2023-03-01,2023-10-31,2023-04-01,2023-10-31
